ImageFile,StimCategory,StimSize,PlateSize,ScaleType,LabelType,ExactStimLabel,ExactScaleAnchors,StimFinalCode (8-bits),Stim Category [Cake=1; Money=0](MSB),StimSize [10=large; 01=med; 00=small] (2-bit),Plate Size [10=large; 01=med; 00=small] (2-bit),Scale Type    [1=gist];     [0=verb.] (1 bit),Label Type (2 bit)           [10=gist;    01=verb;   00=none]  (contains LSB)
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\none_stimuli_verbatim_perception,,,,,,,,pnoneverb,,,,,
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\Cake_LargePiece_SmallPlate.png,Cake,Large,Small,Verbatim,None,Large piece of Cake,0:20,11000000,1,10,00,0,00,192
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\CashStimuli_1_LargePlate.png,Cash,Small,Large,Verbatim,None,Small piece of Cash,0:20,00010000,0,00,10,0,00,16
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\Cake_SmallPiece_LargePlate.png,Cake,Small,Large,Verbatim,None,Small piece of Cake,0:20,10010000,1,00,10,0,00,144
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\Cake_LargePiece_MediumPlate.png,Cake,Large,Medium,Verbatim,None,Large piece of Cake,0:20,11001000,1,10,01,0,00,200
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\Cake_SmallPiece_MediumPlate.png,Cake,Small,Medium,Verbatim,None,Small piece of Cake,0:20,10001000,1,00,01,0,00,136
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\Cake_LargePiece_LargePlate.png,Cake,Large,Large,Verbatim,None,Large piece of Cake,0:20,11010000,1,10,10,0,00,208
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\Cake_MediumPiece_LargePlate.png,Cake,Medium,Large,Verbatim,None,Medium piece of Cake,0:20,10110000,1,01,10,0,00,176
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\CashStimuli_1_MediumPlate.png,Cash,Small,Medium,Verbatim,None,Small piece of Cash,0:20,00001000,0,00,01,0,00,8
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\CashStimuli_6_SmallPlate.png,Cash,Medium,Small,Verbatim,None,Medium piece of Cash,0:20,00100000,0,01,00,0,00,32
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\CashStimuli_20_LargePlate.png,Cash,Large,Large,Verbatim,None,Large piece of Cash,0:20,01010000,0,10,10,0,00,80
